id,timestamp,user,activity,filename,word
379,7/3/2024 9:40:36,nav_speaker1,log in, , 
380,7/3/2024 9:40:42,nav_speaker1,select file to upload, , 
381,7/3/2024 9:40:43,nav_speaker1,upload file: Die Verwandlung.txt, , 
382,7/3/2024 9:40:52,nav_speaker1,select dict to upload, , 
383,7/3/2024 9:42:02,nav_speaker1,select dict to upload, , 
384,7/3/2024 9:43:04,nav_speaker1,select dict to upload, , 
385,7/3/2024 9:44:46,nav_speaker1,select dict to upload, , 
386,7/3/2024 9:48:35,nav_speaker1,select dict to upload, , 
387,7/3/2024 9:49:04,nav_speaker1,dict processed, , 
388,7/3/2024 9:49:47,nav_speaker1,select dict to upload, , 
389,7/3/2024 9:50:13,nav_speaker1,dict processed, , 
390,7/3/2024 9:50:19,nav_speaker1,select dict to upload, , 
391,7/3/2024 9:50:43,nav_speaker1,dict processed, , 
392,7/3/2024 9:51:13,nav_speaker1,select dict to upload, , 
393,7/3/2024 9:51:37,nav_speaker1,dict processed, , 
394,7/3/2024 9:51:41,nav_speaker1,select dict to upload, , 
395,7/3/2024 9:52:07,nav_speaker1,dict processed, , 
396,7/3/2024 10:01:39,nav_speaker1,log in, , 
397,7/3/2024 10:09:36,nav_speaker1,open file,3_Die_Verwandlung.txt, 
398,7/3/2024 10:10:29,nav_speaker1,look up,3_Die_Verwandlung.txt,schaukelte
399,7/3/2024 10:10:31,nav_speaker1,receive lookup results, , 
400,7/3/2024 10:11:22,nav_speaker1,look up,3_Die_Verwandlung.txt,fühlte
401,7/3/2024 10:11:22,nav_speaker1,receive lookup results, , 
402,7/3/2024 10:12:19,nav_speaker1,look up,3_Die_Verwandlung.txt,gemacht
403,7/3/2024 10:12:20,nav_speaker1,receive lookup results, , 
404,7/3/2024 10:13:57,nav_speaker1,look up,3_Die_Verwandlung.txt,lag
405,7/3/2024 10:13:58,nav_speaker1,receive lookup results, , 
406,7/3/2024 10:15:33,nav_speaker1,look up,3_Die_Verwandlung.txt,stehe
407,7/3/2024 10:15:33,nav_speaker1,receive lookup results, , 
408,7/3/2024 10:16:15,nav_speaker1,look up,3_Die_Verwandlung.txt,mach
409,7/3/2024 10:16:15,nav_speaker1,receive lookup results, , 
410,7/3/2024 10:18:29,nav_speaker1,look up,3_Die_Verwandlung.txt,fiel
411,7/3/2024 10:19:22,nav_speaker1,log in, , 
412,7/3/2024 10:19:25,nav_speaker1,open file,3_Die_Verwandlung.txt, 
413,7/3/2024 10:20:55,nav_speaker1,look up,3_Die_Verwandlung.txt,stärkerem
414,7/3/2024 10:20:56,nav_speaker1,receive lookup results, , 
415,7/3/2024 10:21:19,nav_speaker1,look up,3_Die_Verwandlung.txt,eiliger
416,7/3/2024 10:21:19,nav_speaker1,receive lookup results, , 
417,7/3/2024 10:21:56,nav_speaker1,look up,3_Die_Verwandlung.txt,elastischer
418,7/3/2024 10:21:57,nav_speaker1,receive lookup results, , 
419,7/3/2024 10:23:00,nav_speaker1,look up,3_Die_Verwandlung.txt,Fahrpläne
